country,year,gdp_per_capita_us100,gdp_per_hour_us100,hours_per_worker_us100,workers_per_working_age_us100,working_age_share_us100,working_age_definition,working_age_source
Austria,2011,93.078225,88.128870,100.159326,102.044360,103.335488,Population aged 15-74,AMECO NPAN1
Austria,2012,91.873454,88.716911,98.962773,101.161550,103.441857,Population aged 15-74,AMECO NPAN1
Austria,2013,90.119537,88.549498,98.429988,99.939600,103.458889,Population aged 15-74,AMECO NPAN1
Austria,2014,88.771658,88.473154,98.137351,99.077870,103.193378,Population aged 15-74,AMECO NPAN1
Austria,2015,87.372689,89.757657,97.063487,97.545390,102.811467,Population aged 15-74,AMECO NPAN1
Austria,2016,87.322987,89.518787,97.828614,97.571496,102.194030,Population aged 15-74,AMECO NPAN1
Austria,2017,87.401591,89.824930,97.157377,98.128660,102.058881,Population aged 15-74,AMECO NPAN1
Austria,2018,87.085134,89.056693,97.586239,98.245049,101.994842,Population aged 15-74,AMECO NPAN1
Austria,2019,86.442667,87.957491,98.266291,98.577535,101.454848,Population aged 15-74,AMECO NPAN1
Austria,2020,82.668801,86.347992,91.774361,103.260775,101.025880,Population aged 15-74,AMECO NPAN1
Austria,2021,81.558070,85.018756,93.194064,101.838194,101.077212,Population aged 15-74,AMECO NPAN1
Austria,2022,83.313193,88.242904,93.443746,99.995204,101.042615,Population aged 15-74,AMECO NPAN1
Austria,2023,80.268796,85.612688,93.805927,98.527250,101.442974,Population aged 15-74,AMECO NPAN1
Austria,2024,77.862801,83.182656,94.319177,97.963181,101.305812,Population aged 15-74,AMECO NPAN1
Austria,2025,76.909636,81.669038,94.803412,98.338571,101.012577,Population aged 15-74,AMECO NPAN1
